Placing synapse Exp2Syn at (location 0 0.5): 110.32157391231351,310.6826208823088,217.9057248074299 vs. <arbor.mpoint: x 110.322, y 310.683, z 217.906, radius 6.1429>
Placing synapse Exp2Syn at (location 0 0.5): 110.32157391231351,310.6826208823088,217.9057248074299 vs. <arbor.mpoint: x 110.322, y 310.683, z 217.906, radius 6.1429>
Placing synapse Exp2Syn at (location 0 0.5): 110.32157391231351,310.6826208823088,217.9057248074299 vs. <arbor.mpoint: x 110.322, y 310.683, z 217.906, radius 6.1429>
Placing synapse Exp2Syn at (location 0 0.5): 110.32157391231351,310.6826208823088,217.9057248074299 vs. <arbor.mpoint: x 110.322, y 310.683, z 217.906, radius 6.1429>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.5): -352.65855535579897,408.1179254532073,161.35914738285274 vs. <arbor.mpoint: x -352.659, y 408.118, z 161.359, radius 5.6234>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.500001): 62.686683602885694,407.94697095211995,-153.56357383405776 vs. <arbor.mpoint: x 62.6867, y 407.947, z -153.564, radius 4.9615>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 52.04945749199146,146.13647345124832,120.96300290659015 vs. <arbor.mpoint: x 52.0495, y 146.136, z 120.963, radius 6.3882>
Placing synapse Exp2Syn at (location 0 0.5): 198.1512168333595,287.1776104055755,229.67684446301828 vs. <arbor.mpoint: x 198.151, y 287.178, z 229.677, radius 7.2999>
Placing synapse Exp2Syn at (location 0 0.5): 198.1512168333595,287.1776104055755,229.67684446301828 vs. <arbor.mpoint: x 198.151, y 287.178, z 229.677, radius 7.2999>
Placing synapse Exp2Syn at (location 0 0.5): 198.1512168333595,287.1776104055755,229.67684446301828 vs. <arbor.mpoint: x 198.151, y 287.178, z 229.677, radius 7.2999>
